Motion,Agenda Item,Motion Type,Description
1,Appointment of AGM Chairperson,general,Appointment of AGM Chairperson
2,Confirmation of Previous AGM Minutes,general,Confirmation of Previous AGM Minutes
3,OC Manager's Report,general,OC Manager's Report
4,Committee Report,general,Committee Report
5,Insurance Excesses,general,Insurance Excesses
6,Adopt Financial Reports,general,Adopt Financial Reports
7,Administration Fund Budget,general,Administration Fund Budget
8,Maintenance Fund Budget,general,Maintenance Fund Budget
9,Levy Resolution,general,Levy Resolution
10,Number of Committee Positions,general,Number of Committee Positions
11,Accept Committee Nominations,general,Accept Committee Nominations
12,Grievance Committee,general,Grievance Committee
13,Delegation of Powers,general,Delegation of Powers
14,Penalty Interest,general,Penalty Interest
15,Debt Recovery,general,Debt Recovery
